id,masked,original
157,i want [MASK] purchase [MASK] tickets please,i want to purchase 4 tickets please
158,i [MASK] secured [MASK] tickets [MASK] you [MASK] thank you [MASK] using our service [MASK],i have secured those tickets for you ! thank you for using our service !
159,[MASK] [MASK] i [MASK] like [MASK] purchase [MASK] movie tickets [MASK],"hello , i 'd like to purchase some movie tickets ."
160,[MASK] [MASK] [MASK] theater [MASK] you like to purchase tickets [MASK] ?,hello . what theater would you like to purchase tickets to ?
161,there reserved: [MASK] theater [MASK] bellevue [MASK] washington [MASK] i [MASK] n't remember [MASK] name [MASK],"there 's a theater in bellevue , washington ... i ca n't remember the name ."
162,"[MASK] Seattle thinking [MASK] [MASK] lincoln square cinemas [MASK] bellevue [MASK] ne [MASK] bellevue , [MASK] [MASK] ?","are you thinking of bellevue lincoln square cinemas 700 bellevue way ne , bellevue , wa 98004 ?"
163,great [MASK] is there [MASK] 2016\r\n11:55am movie Seats [MASK] like tickets [MASK] ?,great - is there a certain movie you 'd like tickets for ?
164,[MASK] interesting. 3:30pm [MASK] ryan reynolds [MASK] i [MASK] n't think [MASK] [MASK] name [MASK],the superhero movie with ryan reynolds ... i ca n't think of the name .
165,[MASK] you thinking [MASK] deadpool ?,are you thinking of deadpool ?
166,[MASK] [MASK] when [MASK] [MASK] [MASK] showing [MASK] that [MASK] [MASK] ?,"yes , when 's the soonest showing of that near 98119 ?"
167,[MASK] how many tickets [MASK] you like [MASK] purchase ?,and how many tickets would you like to purchase ?
168,hi [MASK] are [MASK] [MASK] 5:50pm comedies [MASK] tomorrow afternoon ?,"hi , are there any romantic comedies showing tomorrow afternoon ?"
169,[MASK] location [MASK] you located ?,what location are you located ?
170,"[MASK] [MASK] i 'm [MASK] [MASK] , Mandarin .","sorry . i 'm in sparta , illinois ."
171,[MASK] [MASK] [MASK] theater our [MASK] [MASK] closed . how [MASK] shiloh [MASK] belleville ?,huh . the theater there may have closed . how about shiloh or belleville ?
172,i [MASK] purchased your tickets [MASK] thank you [MASK],"i have purchased your tickets , thank you ."
173,are A [MASK] good kids movies [MASK] [MASK] st [MASK] louis [MASK] thursday [MASK] ?,are there any good kids movies showing in st . louis on thursday afternoon ?
174,zootopia [MASK] rated 1:45pm [MASK] has [MASK] [MASK] [MASK] [MASK] star rating [MASK],zootopia is rated pg and has a 4.5 / 5 star rating .
175,"sounds good [MASK] any [MASK] [MASK] anywhere , [MASK] 11:45pm [MASK] [MASK] kids [MASK]","sounds good ,. any matinee , anywhere , 2 adults , 2 kids ."
176,8. [MASK] thank Those so Holiday [MASK],perfect ! thank you so much !
177,[MASK] [MASK] i [MASK] [MASK] to know where kung fu panda [MASK] [MASK] playing [MASK] me .,"hi , i 'd like to know where kung fu panda 3 is playing near me ."
178,certainly [MASK] [MASK] Boss? [MASK] [MASK] [MASK] [MASK] you [MASK] ?,"certainly , what city / zip code are you in ?"
179,enjo [MASK] is there [MASK] show [MASK] [MASK] pm tonight at [MASK] 3D: [MASK] [MASK] ?,great ! is there a show around 8 pm tonight at the regal marysville 14 ?
180,there is [MASK] [MASK] showtime avaiable [MASK] how many tickets [MASK] reserved. like ?,there is a 9:10 showtime avaiable . how many tickets would you like ?
181,i [MASK] miami purchased your tickets [MASK] [MASK] [MASK],i have successfully purchased your tickets . enjoy !
182,[MASK] [MASK] your Los [MASK] [MASK] tickets [MASK] race [MASK] confirmed [MASK],"okay , your purchase of 2 tickets for race is confirmed ."
183,[MASK] movies [MASK] coming MAGNOLIA [MASK] weekend,what movies are coming out this weekend
184,[MASK] [MASK] can [MASK] posted you book [MASK] movie ticket ?,"hello , can i help you book a movie ticket ?"
185,great [MASK] i [MASK] secured [MASK] [MASK] [MASK] [MASK] name [MASK] [MASK] put [MASK] [MASK] reservation ?,"great , i 've secured that ticket ! what name shall i put on the reservation ?"
186,[MASK] [MASK] [MASK] purchase [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] confirmed [MASK],"okay , your purchase of 2 tickets for zootopia is confirmed ."
187,i [MASK] looking [MASK] [MASK] [MASK] that serves good burgers [MASK] [MASK] space needle [MASK],i 'm looking for a pub that serves good burgers near the space needle .
188,i want [MASK] see zootopia [MASK] saturday [MASK] [MASK] pm,i want to see zootopia this saturday around 2 pm
189,great [MASK] [MASK] city [MASK] zip code [MASK] [MASK] [MASK] [MASK] ?,great - what city / zip code are you located in ?
190,how many tickets [MASK] you like ?,how many tickets would you like ?
191,[MASK] show me highest rated pizza restaurants [MASK] safeco field [MASK],please show me highest rated pizza restaurants near safeco field .
192,i [MASK] sorry this [MASK] [MASK] movie Ryan [MASK] [MASK] i [MASK] [MASK] search restaurants [MASK],i 'm sorry this is a movie booking service . i can not search restaurants .
193,[MASK] what [MASK] [MASK] [MASK] that [MASK] showing tonight [MASK] safeco alcohol. [MASK],ok what is a drama that is showing tonight near safeco field .
194,[MASK] big short is [MASK] drama that [MASK] playing [MASK] [MASK] your area [MASK],the big short is a drama that is playing tonight in your area .
195,i [MASK] like [MASK] [MASK] [MASK] adult [MASK] [MASK] [MASK] next showing .,i would like to purchase 2 adult tickets for the next showing .
196,i [MASK] looking [MASK] [MASK] Evening. place [MASK] [MASK] available\r\n11:30am area [MASK] tomorrow night,i am looking for a pizza place in the seattle area for tomorrow night
197,"yes , [MASK] you looking [MASK] [MASK] kids movie ?","yes , are you looking for a kids movie ?"
198,[MASK] [MASK] [MASK] definitely animated [MASK] [MASK] Philly? action [MASK],"yes , but definitely animated . not live action ."
199,[MASK] is animated [MASK] [MASK] currently rated [MASK] [MASK] [MASK] stars [MASK],zootopia is animated and is currently rated 4.5 / 5 stars .
200,[MASK] you list [MASK] restaurants [MASK] seattle ?,can you list italian restaurants in seattle ?
201,Marysville have secured [MASK] tickets [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] tickets [MASK] please ?,"i have secured those tickets for you . what name should be on the tickets , please ?"
202,where [MASK] i find the first movie ?,where would i find the first movie ?
203,what date [MASK] you like [MASK] go [MASK] [MASK] movies ?,what date would you like to go to the movies ?
204,[MASK] Code when [MASK] two. comes [MASK] [MASK],not sure when that movie comes out .
205,i [MASK] only learned 1:15pm. [MASK] purchase tickets [MASK] movies [MASK] you [MASK] [MASK] time [MASK],i have only learned how to purchase tickets to movies for you at this time .
206,thank you [MASK] trying our [MASK] [MASK] try again soon for increased [MASK] [MASK],thank you for trying our service . try again soon for increased functionality .
207,i need [MASK] ticket [MASK] see zootopia tomorrow night [MASK] [MASK] [MASK],i need one ticket to see zootopia tomorrow night in seattle .
208,[MASK] time [MASK] you like me [MASK] search for ?,what time would you like me to search for ?
209,[MASK] you [MASK] the [MASK] [MASK] [MASK] [MASK] regency commerce [MASK] [MASK] tomorrow ?,can you find the showtimes for risen at regency commerce 14 for tomorrow ?
210,[MASK] showtimes [MASK] [MASK] [MASK] am [MASK] [MASK] [MASK] [MASK] [MASK],the showtimes are : 11:50 am 2:30 pm 5:10 7:50 10:25
211,great [MASK] how [MASK] tickets [MASK] you like ?,"great , how many tickets would you like ?"
212,[MASK] [MASK] your purchase [MASK] [MASK] boss! [MASK] zoolander [MASK] [MASK] confirmed [MASK],"okay , your purchase of 2 tickets for zoolander 2 is confirmed ."
213,[MASK] [MASK] would you like [MASK] purchase movie tickets ?,hi - would you like to purchase movie tickets ?
214,[MASK] [MASK] i want [MASK] purchase [MASK] [MASK] zootopia [MASK],yes . i want to purchase tickets for zootopia .
215,at [MASK] movie theater [MASK] you v [MASK] purchase Ohio [MASK] ?,at which movie theater would you like to purchase tickets at ?
216,[MASK] amc river east [MASK],at amc river east 21
217,when [MASK] [MASK] [MASK] [MASK] go ?,when would you like to go ?
218,[MASK] [MASK] not 6pm tickets that far [MASK] advance [MASK] [MASK] movie [MASK] sorry .,i can not book tickets that far in advance for that movie . sorry .
219,how about tomorrow Rivercenter then ?,how about tomorrow night then ?
220,[MASK] you want [MASK] purchase [MASK] [MASK] [MASK] [MASK] ?,do you want to purchase 2d or 3d tickets ?
221,Saturday? are showtimes [MASK] [MASK] pm [MASK] [MASK] 90601? . which [MASK] these [MASK] you food? ?,there are showtimes at 6 pm and 9:01 pm . which of these would you prefer ?
222,[MASK] [MASK] your purchase [MASK] [MASK] tickets [MASK] deadpool [MASK] confirmed [MASK],"okay , your purchase of 2 tickets for deadpool is confirmed ."
223,[MASK] you recommend [MASK] Sequoia for Movies ?,do you recommend any movies for me ?
224,[MASK] [MASK] what type [MASK] movies [MASK] you like ? action [MASK] Believe [MASK] comedy ?,"yes , what type of movies do you like ? action , drama , comedy ?"
225,[MASK] Island? [MASK] [MASK] [MASK] [MASK],carmike summit 16 at 2:15 pm
226,how many tickets [MASK] you like [MASK] purchase ?,how many tickets would you like to purchase ?
227,i [MASK] purchased your tickets for you [MASK] thank fu [MASK],i have purchased your tickets for you . thank you .
