keyword,label
you sure person,123
end ? anyone,125
ohter end hi,125
hi ohter anyone,125
hi ? ohter,125
anyone ? end,125
end anyone ?,125
i not,127
not i sure,127
not i,127
i what sure,127
not sure,127
i sure,127
not i sure,131
do sure i,131
i do not,131
sure i,131
i i,131
do not sure,131
i person,134
person i,134
i very person,134
i experienced,134
i experienced,134
experienced very person,134
doing now,135
what now,135
you what,135
? what,135
what now ?,135
? doing,135
i crazy,137
crazy little,137
little crazy person,137
crazy little,137
crazy i person,137
person i,137
cup tea,139
i my,139
moving i tea,139
tea mind my,139
moving my my,139
mind tea my,139
i crazy,140
say doctors things,140
imagine doctors say,140
say doctors i,140
things say,140
i imagine things,140
? you,142
hobbies ? you,142
? do hobbies,142
? hobbies you,142
do hobbies,142
you do hobbies,142
lot really,143
not time,143
i hospital,143
lot i not,143
not i lot,143
really not spend,143
not sure means,145
means i not,145
sure means not,145
means what not,145
i means sure,145
not sure,145
? music do,147
music like do,147
you do like,147
music ? like,147
do you ?,147
do ?,147
time like good,148
piano time,148
piano like i,148
time play,148
like i good,148
i time like,148
piano play,150
i play too,150
i too,150
play too piano,150
i play,150
piano play,150
  could,151
say not popular,151
not tons can,151
i could  ,151
friends i  ,151
  friends i,151
what up,152
? speeds up,152
up music,152
music up,152
? music,152
what speeds,152
do miserables music,156
you people miserables,156
miserables sing people,156
hear les people,156
hear do,156
les miserables you,156
metal i,157
metal prefer,157
i music prefer,157
prefer i,157
i prefer,157
metal music prefer,157
time sing,158
i young time,158
young i,158
time americans,158
singing song,158
young every i,158
? plays what,160
sound ?,160
? music,160
music ?,160
plays what music,160
sound music,160
s that the,162
that s,162
that s,162
singer s jazz,162
s jazz,162
singer s what,162
? you,163
how old,163
you ? how,163
? how you,163
old how,163
you how,163
s that,164
what that the,164
singer what,164
singer what,164
singer what,164
that the,164
? old,165
old you,165
? how,165
how ? you,165
old how,165
old you,165
in visitor we,166
visitor oskar swedish,166
in swedish,166
oskar we,166
in swedish,166
visitor oskar,166
iil start,169
mignon start they,169
mignon iil start,169
now start they,169
they filet can,169
sunset they iil,169
old you how,171
old you,171
how ?,171
? you,171
? how,171
how ?,171
feet put,172
put my little,172
hamburger little my,172
feet my,172
here hamburger iii,172
iii put little,172
like steak,174
like steak ?,174
steak ? you,174
like ? you,174
steak you like,174
you like,174
i carrots wednesday,176
carrots peas wednesday,176
schnitzel peas,176
carrots peas,176
carrots peas i,176
schnitzel wednesday i,176
? cook,177
cook you,177
what cook you,177
? you,177
? cook,177
what ? you,177
think like i,179
i like think,179
i it,179
i i it,179
it think i,179
think i i,179
else we,181
? we anything,181
? anything,181
talk ? can,181
talk else we,181
anything we,181
hos used kang them soup make house i mussels min,183
them used hos kang min seaweed house,183
make used them min,183
min used kang them,183
used soup kang min mussels hos,183
kang them i used seaweed mussels,183
plant tree my,187
see i,187
i tree,187
i my plant,187
tree i my,187
tree see my,187
what mountain,189
meet ?,189
mountain meet,189
lion do you,189
meet you mountain,189
meet mountain,189
boel corn,191
corn hamelen,191
corn seeds,191
boel seeds hamelen,191
boel seeds corn,191
corn seeds boel,191
? how old,194
? you,194
? old you,194
how ?,194
old how ?,194
old you ?,194
i gym,197
i ready,197
i gym,197
gym getting,197
gym go,197
gym ready,197
i like nt,199
nt sports,199
like nt i,199
nt i,199
sports do,199
i do like,199
  not i,200
not i,200
  i i,200
fish not i,200
i i,200
though eat,200
car riding,201
car riding like,201
like riding,201
car i like,201
car like i,201
i like,201
i horses like,202
like ride horses,202
i like ride,202
horses like i,202
ride like,202
like i,202
do ?,203
? do,203
one you,203
do one you,203
do ? you,203
? you one,203
i tried good,206
i good,206
lot drive one,206
drive good i,206
i never,206
one  ,206
how ?,207
you how,207
you how old,207
how you old,207
? how,207
how old you,207
? do,209
you living,209
living you ?,209
do do,209
what living,209
living do what,209
my god,216
i god my,216
wheels i,216
my nt,216
nt god,216
wheels my,216
car er,219
ok er,219
start ok er,219
ok start,219
ok fu,219
ok start er,219
yuk ?,221
man know standing,221
kong ? standing,221
? there you,221
know you,221
know you ming,221
kong s,222
kong s,222
ming kong s,222
kong s who,222
s who ming,222
yuk kong,222
know do,223
standing you,223
you there,223
there you standing,223
there man know,223
yuk ?,223
yuen kong sang,225
yuen kong,225
sang you,225
you kong sang,225
you bastard,225
bastard yuen kong,225
hang ji,227
hang uhm boks,227
boks hang uhm,227
ji mom hang,227
mom sook uhm,227
ji mom,227
not shin,229
you not,229
eun ah shin,229
ah not,229
ah eun,229
eun you,229
filming ae,231
? life filming,231
everything life,231
jung ae you,231
everything celebrity,231
? everything you,231
chi minh,233
minh son,233
minh chi bitch,233
ho bitch,233
minh ho chi,233
minh ho,233
little i work,237
little work,237
little tired,237
i tired,237
i work little,237
i little tired,237
rest need i,240
i me need,240
need rest talk,240
me need,240
need me talk,240
need i,240
  vet   son son   i that,241
s son son   son   son i,241
  son cool also son vet,241
son i also,241
    son,241
son son i son,241
no kids i,242
kids no,242
i no,242
oh kids,242
no kids i,242
kids oh,242
music listen,243
sing music,243
sing folk music,243
like listen  ,243
folk  ,243
i listen,243
playing pong ping,244
i ping like,244
playing like,244
like playing i,244
ping like,244
ping playing i,244
  much piano i,245
much i bit player  ,245
do musician player,245
  piano bit not,245
much not   piano i i musician i player  ,245
i i bit musician piano player,245
do you sports,246
you like,246
do sports like,246
you like,246
you do,246
do like you,246
talk rest need,249
rest i talk,249
me need i,249
need rest,249
me talk i,249
i need,249
how you,251
you hello ?,251
you hello,251
hello ?,251
? how hello,251
hello how,251
? pretty you,252
pretty fine,252
pretty ?,252
pretty fine ?,252
? you pretty,252
fine ?,252
finished watching,253
watching good finished,253
finished watching tv,253
tv watching good,253
finished tv,253
tv finished watching,253
funny too finished,254
doing too,254
finished funny,254
too i,254
doing funny finished,254
too i,254
favorite color,255
favorite color ?,255
favorite what,255
what color favorite,255
what ?,255
color favorite,255
like black black,256
you know ?,256
you black,256
i you know,256
olives black think,256
think black favourite,256
rose band i,257
one rose,257
one love band,257
love band,257
one love,257
i love it,257
? called band generally what like thr listen you,258
thr i do who oh band ? what generally,258
i listen thr ?,258
called listen generally you thr ? i,258
listen what like i called,258
who music like do band you listen what i,258
i mostly,259
like pop i,259
i music,259
music i,259
mostly pop like,259
pop like mostly,259
where you,260
work where you,260
do good ?,260
? you,260
do you,260
you ? do,260
work local shelter,261
local shelter i,261
shelter work i,261
work i,261
work shelter,261
work i,261
must i very supermarket job it intresting i local work,262
ani supermarket i it local job,262
it local i,262
i hate it,262
it job must i local hate ani very,262
it work must intresting very i i,262
store work grocery,263
store work i,263
work grocery,263
grocery store,263
grocery store i,263
work store grocery,263
reading got,265
got i,265
got i reading,265
good reading i,265
i reading,265
done reading i,265
message ? ypu,266
message ?,266
ypu mean my,266
message my ypu,266
ypu mean ?,266
? my mean,266
you mean i,267
you what not,267
what sure not,267
sure not,267
sure not,267
what mean,267
go bye,268
okay bye,268
i go,268
okay bye go,268
go okay i,268
bye i go,268
i go,269
go hospital will,269
hospital will go,269
go will,269
i go,269
will i hospital,269
love i,270
very i,270
my love body,270
body compete attractive,270
very love,270
body very love,270
like parties,271
you parties like,271
you do,271
do parties,271
you do ?,271
you ?,271
myself party,272
myself i,272
party myself,272
party i animal,272
i myself,272
myself m,272
will i shirt,273
will shirt using,273
using will,273
shirt i will,273
using shirt will,273
shirt will,273
pets do ?,274
? pets you,274
? you,274
you pets do,274
? you,274
? pets do,274
i more,277
person i,277
i person more,277
more cat person,277
i cat more,277
person i cat,277
you dogs like,278
dogs you,278
like dogs you,278
dogs you,278
? like,278
? you,278
like dogs,279
like yet i,279
i not,279
i i,279
  one,279
i like,279
cat ever,280
cat ever,280
? you,280
ever cat,280
ever ?,280
you ever cat,280
cat person,282
cat more person,282
i person,282
i more,282
cat i,282
cat i person,282
fear ? do,283
? you,283
? you fear,283
you fear,283
? fear,283
do ?,283
i heights afraid,284
afraid heights,284
deathly heights afraid,284
i deathly,284
deathly afraid,284
heights i,284
can not,285
can not say,285
i not,285
can i,285
can say not,285
i say can,285
getting slim i,286
afraid slim getting,286
getting slim,286
i afraid,286
getting slim,286
i getting,286
afraid persons,287
slim persons,287
slim ?,287
persons ?,287
slim ?,287
afraid ?,287
you going can,288
i i going,288
i tell,288
tell do,288
tell do,288
you well going,288
? hair,290
you short,290
hair you,290
you long,290
you short,290
short you long,290
watch i  ,298
watch fan i   reading,298
watch   movies  ,298
love i i friend   movies watch   reading fan,298
friend reading movies fan i i   watch love,298
reading watch fan  ,298
family i intresting,299
rather intresting i,299
intresting love,299
i rather intresting,299
i i,299
i big family,299
i     cool i   time basement,300
time   friends i i i teacher,300
  cool   basement,300
  cool i i time   friends,300
i cool friends i,300
i i   cool time friends,300
meat i more them like i eat,302
eat   eat   meat fan,302
i i   meat like eat eat,302
more fan eat eat,302
  i fan   them eat,302
meat   fan i eat like  ,302
big healthy tacos fond i though not,303
rather i not i fond big,303
fan i tacos big not fond,303
i healthy though,303
healthy food not tacos,303
tacos i food though fan fond,303
i  ,304
football   i,304
sure i i,304
say i football,304
say not,304
fan sure football,304
basement housewife i ? i   cool teacher  ,306
housewife i     i i teacher,306
teacher i   basement   you housewife,306
  housewife     i i basement ?,306
housewife i     teacher i ? you   i,306
you basement cool i    ,306
alabama living,307
living three alabama,307
big living i,307
alabama brother sisters,307
one i,307
i one three,307
fan sure,308
i fan,308
i   i,308
sure i,308
sure fan not,308
i not,308
nice bye i,309
bye nice i,309
nice i okey,309
okey nice bye,309
okey nice,309
okey go,309
? going,324
it how going,324
’s it,324
it ’s,324
going ? how,324
’s going it,324
get please,327
type state test,327
text state,327
test get reset,327
test state,327
end try,327
burger richard burger gouda,328
burger richard greed persimmons easy brinkley gouda crispy,328
whew crispy burger persimmons easy,328
easy greed crispy richard,328
persimmons whew burger brinkley easy greed,328
burger easy burger richard whew brinkley,328
do you,333
do indoors,333
? like,333
you ? indoors,333
like do ?,333
indoors like do,333
games love,334
games love,334
games do love,334
games ?,334
? you,334
do ? you,334
living what,335
do do what,335
do what you,335
? living do,335
do you,335
living what do,335
how you ?,336
old ?,336
old how ?,336
you ?,336
? you how,336
old you,336
good very person,341
good not person,341
i person very,341
person good i,341
very i person,341
good person not,341
pong pong my,343
pong pong pong,343
i my,343
pong my,343
pong pong,343
my play i,343
speaks hi,344
speaks hi ?,344
? who speaks,344
speaks hi spanish,344
? anybody hi,344
spanish ? anybody,344
studying like,345
leartning i like,345
studying i languages,345
leartning studying like,345
studying like leartning,345
like languages,345
german teacher i̇,346
spanish now german,346
sudying teacher,346
sudying spanish,346
teacher now i̇,346
now spanish i̇,346
u i better,347
skills u,347
skills talk my,347
better skills,347
talk wanna spanish,347
language make better,347
speak spanish i,348
i english,348
i english,348
speak i,348
i speak english,348
i speak spanish,348
where great,349
you s learn,349
spanish do learn,349
? great,349
? spanish learn,349
spanish ? do,349
spanish teach spanish,350
spanish i spanish,350
i spanish,350
i spanish,350
teach spanish,350
teach spanish i,350
u grade do,351
teaching which do,351
u teaching ?,351
u grade which,351
u which ?,351
which u grade,351
level teaching teaching teaching teaching teaching,352
teaching level teaching math teaching teach,352
teaching it teaching teaching teaching teaching i math teaching level,352
teaching teaching it teaching teach teaching math,352
teaching teaching level teaching teach teaching it,352
it teaching teaching teaching math teaching i,352
anything hard it,355
it hard,355
anything do it,355
it hard,355
hard anything,355
anything hard do,355
students ?,356
them ?,356
do ?,356
like students u,356
? like,356
? them,356
do them i,357
kids i do,357
not kids,357
not do them,357
i i,357
do not kids,357
time feeling fun i too me,358
me time too have,358
teaching kids fun me time kids have nt too lot,358
time i have nt teaching feeling kids agreat,358
lot agreat i nt feeling have too kids me,358
me feeling nt good i too have,358
teach primary i,361
teach primary,361
primary school,361
teach school,361
school i,361
i school,361
teach school elementary,362
school elementary,362
teach school,362
elementary teach,362
school elementary elementary,362
teach school school,362
i understand great,364
i understand now,364
i now,364
i now great,364
understand now great,364
now understand i,364
do what do,365
you what ?,365
what do ?,365
fun do do,365
do do,365
you do do,365
do learning,366
learning languages,366
do wanna,366
do u,366
do ?,366
? do,366
not know english,367
english know,367
english know do,367
know english i,367
not i,367
i know english,367
playing ? like,368
i ? gitar,368
playing ?,368
i ? like,368
like gitar playing,368
like playing ?,368
band do do,369
i i not,369
do do i,369
i do,369
like anything,369
playing anything,369
like little,370
little writing,370
songs like musician,370
songs musician writing,370
like musician,370
writing songs like,370
band radio i,371
write radio band,371
songs radio,371
write radio i,371
write songs called,371
i write,371
that liked i,372
s great it,372
s that great,372
s great it,372
liked that,372
s liked great,372
i not it,373
it like i,373
do not,373
it not i,373
like i do,373
not it,373
do ? come,374
? come where,374
from do,374
u ? do,374
u from where,374
u do from,374
live near,375
i california,375
near beach i,375
i live,375
california live beach,375
live i,375
like swimming do,376
swimming like,376
like u do,376
swimming do,376
do swimming like,376
u like,376
do not swim,377
do do,377
like like do,377
swim do,377
like swim i,377
not swimming,377
beach what,378
beach what sand,378
what beach,378
sand beach,378
beach sand,378
? beach what,378
like i beach,379
beach near like,379
i beach,379
near like,379
like beach i,379
like beach,379
high too i,380
i school,380
school high too,380
school too,380
school high i,380
high too,380
you how great,383
i ?,383
i great doing,383
i how you,383
how great,383
how great doing,383
thank fine,384
you thank,384
m fine i,384
you i,384
you m i,384
m thank i,384
m lunch free,385
now m,385
free lunch m,385
lunch m,385
conversation i,385
lunch i,385
you time,386
free you,386
? time,386
you ?,386
do ? free,386
do talk,386
not that i,387
not i do,387
time not eat,387
like do eat,387
do i,387
i time,387
my it spent,389
no my,389
it away wife,389
i money,389
spent wife,389
no money away,389
that i,390
i that sorry,390
i sorry,390
that hear sorry,390
sorry hear,390
that sorry,390
i work i car my hope salesman,392
work i will i,392
now my will work,392
better salesman car will i hope balance,392
work my car i now balance,392
now car better my hope,392
buy will,393
will car i,393
will buy car,393
will car i,393
i will car,393
i will buy,393
price pretty best,396
color pretty,396
color best pretty,396
best price,396
best color,396
best pretty color,396
look take you,397
take could when,397
you when could,397
could look ?,397
look take,397
could when,397
it would,398
would see i,398
see love,398
see would,398
would see,398
it love see,398
maybe am tomorrow,399
tomorrow maybe morning,399
? maybe morning,399
tomorrow ?,399
tomorrow maybe am,399
morning maybe ?,399
i soon week,400
week work soon,400
go week i,400
work week,400
week i going,400
work going,400
do you where,401
? work do,401
do where ?,401
where you do,401
where you work,401
do where ?,401
i local,402
work local i,402
local shelter,402
local i,402
work i shelter,402
i work,402
married m,404
married yes,404
married m married,404
married married i,404
m yes married,404
married married i,404
build new house,407
house i,407
build house,407
going house,407
i new house,407
build going i,407
need you ?,408
you need,408
you it,408
need you,408
? it need,408
need you,408
it you,409
it i you,409
do it,409
free could,409
it free could,409
it you,409
? from where,411
where you ?,411
? where,411
where from ?,411
from ? where,411
you from ?,411
i like my,412
like cat you,412
i cat,412
like show,412
show my,412
d like you,412
one you ?,413
? you one,413
? do you,413
? one,413
one do you,413
you one,413
like dogs,415
you like dogs,415
you do,415
? dogs like,415
do ? like,415
dogs do you,415
shepherd dog,416
shepherd dog,416
i shepherd,416
shepherd german dog,416
german shepherd,416
german dog,416
it husband my,417
brought husband,417
my husband adopted,417
husband it,417
it husband,417
my adopted,417
books pushkins i,418
enjoy books,418
coloring books,418
i enjoy,418
pushkins coloring i,418
pushkins i books,418
living farming rural,419
farming community,419
rural that months,419
that me s,419
that rural community,419
months all community,419
apartment you ?,421
you moving apartment,421
? you apartment,421
? moving,421
you apartment,421
moving you,421
today you ?,423
today you how,423
today you ?,423
today you,423
you how ?,423
how today ?,423
who ?,424
you you,424
you are,424
you me are,424
? you,424
you you can,424
you ?,425
what doing you,425
? what you,425
you doing what,425
? what,425
what doing ?,425
type try get,429
test type,429
reset text,429
get test state,429
please reset type,429
test please end,429
end type,432
state text,432
end text state,432
test end text,432
text try end,432
end state please,432
’s up,433
what ? up,433
up ’s ?,433
? ’s,433
what up ’s,433
? up,433
please try get,437
text type,437
test try,437
text get state,437
test reset get,437
try text please,437
state end,440
please reset,440
test please,440
reset test,440
type end,440
reset get try,440
type get,443
please end reset,443
get please state,443
end type,443
test text try,443
try test please,443
fired i playing,445
love hey recently,445
love softball recently,445
i softball,445
softball love recently,445
i recently,445
try please end,447
reset type text,447
get end try,447
reset please state,447
reset type get,447
please state,447
test text,450
type text please,450
type get text,450
please state,450
text try end,450
try please,450
state try text,453
get end reset,453
text state test,453
please test get,453
type please end,453
try end type,453
played you,455
football you,455
? played football,455
played football ?,455
you ?,455
played football,455
football what,456
team ?,456
football ? what,456
football ?,456
football ? what,456
football what,456
really wars,458
you really,458
wars really,458
star do really,458
do wars,458
star really do,458
me it,459
it love,459
me i love,459
it i,459
me love i,459
me i,459
how it ’s,460
how it,460
how ’s,460
’s going,460
going ’s,460
going ’s,460
please get type,463
test end state,463
text type,463
try state,463
reset test get,463
try text get,463
painter not i,464
do painter,464
i do you,464
you do think,464
painter i,464
i painter you,464
do sure,465
i i,465
not do,465
not sure i,465
i could,465
i do,465
going s ?,467
how it,467
how s it,467
how going s,467
s how going,467
how s going,467
? yourself,468
me yourself,468
something yourself,468
you me,468
yourself tell,468
will ?,468
dog ? you,470
dog do,470
do you ?,470
dog do ?,470
you do dog,470
? you,470
little tired work,477
little tired i,477
work tired,477
little i work,477
work i little,477
tired i,477
call most,480
recent call last,480
most traceback,480
traceback last most,480
recent most call,480
call last,480
little i,495
tired little i,495
i work,495
work little i,495
work little tired,495
i tired,495
work little i,497
work little,497
tired i,497
tired little i,497
tired i work,497
little i work,497
i like,502
drink i,502
i drink like,502
i i like,502
i drink  ,502
  drink,502
i friend,504
i football,504
friend fan i,504
i fan,504
i fan i,504
i friend  ,504
i more meat healthy   like eat fan  ,506
fan more    ,506
like more fan,506
them eat like meat   healthy,506
eat i like them fan eat   i   meat,506
  like i   eat healthy,506
? i  ,508
like football fan movies   ?,508
i football  ,508
you ? i,508
i you ?,508
  i ? watch like you,508
movies me,509
i movies like,509
too me,509
like watch,509
movies me,509
me too like,509
  i wrong sure you seen fan,510
you   tv wrong   duty series ever i,510
series sure   i not,510
seen not ? duty i series i,510
not you duty series i ? fan seen  ,510
  seen series duty,510
fucking like,511
chicks fat harcore,511
i harcore,511
like harcore nigga,511
harcore chicks,511
fat like fucking,511
i eat like i eat   fan  ,512
i eat meat  ,512
  healthy i more fan   eat them like i,512
i fan them like eat,512
  like them,512
healthy more i,512
fan ever  ,514
football sure   i it ever,514
sure i   i ever,514
i fan it i   sure seen,514
seen football sure   i,514
  i seen,514
little work,515
tired little,515
little i tired,515
work little,515
work little tired,515
i work little,515
afraid heights,517
heights i  ,517
i afraid,517
heights i,517
heights heights,517
scared heights,517
reminds   not wearing,519
  wearing like   summer it time,519
which me   reminds it time like summer,519
wearing i i like   grey not,519
which   wearing reminds,519
grey i me   wearing not   like,519
  s   cool pilot i time that i much,521
either   cool   much,521
i hobbies   s either that   i pilot,521
    pilot that,521
time pilot s     either much i hobbies,521
either pilot     time i,521
little i,529
work tired i,529
tired little,529
i work tired,529
little i work,529
work i,529
tired work little,534
i tired little,534
work i,534
i little work,534
little tired,534
i work little,534
animals i dog,537
dog dog,537
    i,537
  love  ,537
i  ,537
  animals,537
teacher  ,539
i   cool,539
cool i teacher,539
i you ?,539
  teacher i,539
  you,539
last call traceback,541
last recent traceback,541
recent last,541
call last,541
last traceback,541
last traceback most,541
most last,546
most traceback call,546
call traceback,546
recent traceback call,546
recent last most,546
most call,546
little i,561
work i,561
little tired i,561
work little tired,561
work little,561
tired work,561
work tired little,565
tired work,565
little i work,565
work i,565
little work,565
i work,565
video i play play games games video,569
games play games   play i games  ,569
video video games   games,569
i games   games video,569
video   games games play video   games video i,569
  video games play   video i video play games,569
i   you,571
i  ,571
i i teacher,571
cool teacher,571
  cool,571
teacher cool,571
i  ,573
teacher you ?,573
teacher   i,573
i ?  ,573
  ?  ,573
you   teacher,573
sorry   still not i i sorry i,578
i i you sorry   not young you  ,578
i i i sorry,578
i i sorry sorry i  ,578
i sorry i   still i sorry sorry,578
  still i not     i sorry,578
they adorable   person i love   animals,580
adorable you   animals   i,580
? love   i,580
animals i   they adorable,580
i i cat,580
    love   person i ? they,580
teacher ? that i,582
teacher   i,582
teacher   that s cool i ?  ,582
  teacher teacher cool s   you that ?,582
i cool s   that i   you  ,582
  teacher you teacher   i,582
football   cool ?,585
i cool i football   you,585
i   football love  ,585
i i football ? player pro  ,585
cool baseball ?   football love player  ,585
pro football love ?   player   you i  ,585
i i   ? that  ,587
s   cool i ?   i sons,587
  cool that,587
cool i that sons,587
cool   that woman i,587
you i ?     cool s i  ,587
cool you baseball ? love i player pro,589
? love i,589
i baseball i pro you ?,589
? pro   you i football   cool,589
love   cool ? you player baseball football i,589
pro cool ? love player football you    ,589
little i,593
i little,593
i tired little,593
tired work,593
tired i,593
i work little,593
? you,601
hello you how,601
? hello,601
hello you,601
hello how ?,601
you ?,601
i i mechanic,611
mechanic work,611
i work,611
mechanic work,611
i mechanic mechanic,611
work mechanic,611
hello   you,615
hello you,615
hello you ?,615
you ? how,615
how  ,615
hello ?,615
very i gamer,617
person gamer,617
mom person good,617
  i huge,617
  i very,617
mom huge very,617
gamer mom huge,619
mom i,619
very mom,619
mom  ,619
my i,619
i   huge,619
? you like,622
do like ?,622
you like do,622
spot ? like,622
spot ?,622
? like,622
i like,624
i movies,624
like movies,624
i go like,624
i like movies,624
like go,624
gamer  ,626
my gamer,626
good mom,626
my good gamer,626
i person,626
gamer mom person,626
blue too i,628
too like i,628
i blue like,628
blue like too,628
too i,628
i like,628
too like i,629
too i,629
too blue,629
like i,629
too i like,629
blue too,629
i not sorry     i i very,645
  sorry very i  ,645
you very i i    ,645
i sorry smart very   sorry you sorry,645
  sorry i   you smart,645
smart very sorry   not i   sorry,645
i i       pilot time olympics s that,647
i tv s  ,647
pilot i   that i cool  ,647
tv that   i   olympics   time s cool,647
  that   i pilot olympics cool time   i,647
s   time tv olympics i i  ,647
very interesting say,651
say way,651
way say,651
very way interesting,651
interesting very,651
interesting very,651
mom huge,653
good person huge,653
i very,653
good gamer,653
